,track_name,artist,track_id,release_date,url,date_added
31,Superpowers (with GoldLink),Col3trane,1iZjxPc5GJhEBl6CZOZXTw,2019-05-31,https://i.scdn.co/image/ab67616d00001e0216e310acbbf53780682ea3fc,2022-03-22 18:40:02+00:00
87,Foot Fungus,Ski Mask The Slump God,3EikYy40GMSp8l5mDV6IQo,2018-11-30,https://i.scdn.co/image/ab67616d00001e02e62c8561e3b1bd9ad952ce01,2022-03-22 18:40:02+00:00
84,E. Coli (feat. Earl Sweatshirt),The Alchemist,3GXSywNvYLAVUCtjMHkKDh,2018-11-30,https://i.scdn.co/image/ab67616d00001e02795e7069de7cb188b7c821b4,2022-03-22 18:40:02+00:00
50,151 Rum,JID,22WV03i2lBbwNVCE1g671p,2018-11-26,https://i.scdn.co/image/ab67616d00001e02f5991f6f1f0de2277bb8d948,2022-03-22 18:40:02+00:00
56,Borrowed Love (feat. Swae Lee & WizKid),Metro Boomin,0NA5xAtDra50d0Lfs2uvoh,2018-11-06,https://i.scdn.co/image/ab67616d00001e022887f8c05b5a9f1cb105be29,2022-03-22 18:40:02+00:00
52,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,2LskIZrCeLxRvCiGP8gxlh,2018-10-25,https://i.scdn.co/image/ab67616d00001e0297edb4fc7ac3510ca4bb021c,2022-03-22 18:40:02+00:00
0,Drip Too Hard (Lil Baby & Gunna),Lil Baby,78QR3Wp35dqAhFEc2qAGjE,2018-10-05,https://i.scdn.co/image/ab67616d00001e02ce159a3ba2096e13fa9d4b4c,2022-03-22 18:40:02+00:00
22,WAV Files,Lupe Fiasco,0BWve9OJvo7ONwfR36Ty6Z,2018-09-21,https://i.scdn.co/image/ab67616d00001e02ca4c93e86a1e8096c23bc7f8,2022-03-22 18:40:02+00:00
58,Creep On Me,GASHI,1MUL6DO2gVimj2YrVedubd,2018-08-22,https://i.scdn.co/image/ab67616d00001e026efc266bad5eb6bbc0358189,2022-03-22 18:40:02+00:00
65,SKELETONS,Travis Scott,6NMtzpDQBTOfJwMzgMX0zl,2018-08-03,https://i.scdn.co/image/ab67616d00001e02072e9faef2ef7b6db63834a3,2022-03-22 18:40:02+00:00
54,ASTROTHUNDER,Travis Scott,4MXhiYIRDMGAuvZc5IFTwC,2018-08-03,https://i.scdn.co/image/ab67616d00001e02072e9faef2ef7b6db63834a3,2022-03-22 18:40:02+00:00
90,NC-17,Travis Scott,6BJbOXDlgVAXSaq6wYFYT2,2018-08-03,https://i.scdn.co/image/ab67616d00001e02072e9faef2ef7b6db63834a3,2022-03-22 18:40:02+00:00
83,COFFEE BEAN,Travis Scott,6vnfObZ4Ys70SBAtti1xZ9,2018-08-03,https://i.scdn.co/image/ab67616d00001e02072e9faef2ef7b6db63834a3,2022-03-22 18:40:02+00:00
96,Adam and Eve,Nas,0BSPhsCKfwENstErymcD80,2018-06-15,https://i.scdn.co/image/ab67616d00001e024c2ab67f7da8208998f35d51,2022-03-22 18:40:02+00:00
60,Cudi Montage,KIDS SEE GHOSTS,4kUZvXB3LC3an3HX6h0s17,2018-06-08,https://i.scdn.co/image/ab67616d00001e02013c00ee367dd85396f79c82,2022-03-22 18:40:02+00:00
67,Hun43rd,A$AP Rocky,1r33iukEx0COYuBzyXPmPP,2018-05-25,https://i.scdn.co/image/ab67616d00001e029feadc48ab0661e9b3a9170b,2022-03-22 18:40:02+00:00
29,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,7ycWLEP1GsNjVvcjawXz3z,2018-05-25,https://i.scdn.co/image/ab67616d00001e029feadc48ab0661e9b3a9170b,2022-03-22 18:40:02+00:00
