,track_name,artist_name,track_id,release_date,date_added,url
0,D.M.B.,A$AP Rocky,7IBLt4Qarf4JDLxIQDv2O5,2022-05-05,2022-05-06 16:44:40+00:00,https://i.scdn.co/image/ab67616d00001e0234a1040c25a7ff7fca5135f3
1,chem bath,Hether,6lqdNLE6pMZ3eFX8TlY1XS,2022-04-29,2022-05-01 17:25:36+00:00,https://i.scdn.co/image/ab67616d00001e022e2f3e418762dc894d95ab18
2,Children's Story,Slick Rick,71A6V5dh5Y8ikhm6NGwZ7p,1988-11-03,2022-04-28 16:06:45+00:00,https://i.scdn.co/image/ab67616d00001e0231d320cf8e982c7f1a5f9d29
3,Me And The Biz,Masta Ace,1jQMQgw3EtIoIToc79X2a4,1990-07-24,2022-04-28 16:01:29+00:00,https://i.scdn.co/image/ab67616d00001e02b2d6e4c09fcda9c294b3e302
4,Think I Am - Dead Rabbit Remix,Masta Ace,63VUzsJILCOlINO1xSQnEo,2017-12-22,2022-04-26 18:31:16+00:00,https://i.scdn.co/image/ab67616d00001e0201a8e20e1fb7149bd8a2ce98
5,Beauty & Essex (feat. Daniel Caesar & Unknown Mortal Orchestra),Free Nationals,0cciBj4236w1xByzZvn92D,2019-12-13,2022-04-26 02:10:19+00:00,https://i.scdn.co/image/ab67616d00001e02d93501aba7bc1140aac628c6
6,Please Do Not Lean (feat. BADBADNOTGOOD),Daniel Caesar,5uXO1sjZ7VbNKexKaFRna3,2022-04-22,2022-04-26 02:04:32+00:00,https://i.scdn.co/image/ab67616d00001e0267a8afb7c3e34748f5faf8d8
7,Sound Of The Bass,Julian Jordan,5KeWNOjXTGZd2qATxVBLF8,2022-01-21,2022-04-26 00:47:11+00:00,https://i.scdn.co/image/ab67616d00001e02c12ea3856bddf4280b2cb640
8,Hyper,Julian Jordan,7yDCdM8S3hiIHn3u1JtEeH,2021-07-23,2022-04-25 16:00:54+00:00,https://i.scdn.co/image/ab67616d00001e02a51a8262fbb9cb35094c2456
9,Out Of My Mind,Julian Jordan,2wSudk1Z9HMdPNrWnwu6mc,2022-02-25,2022-04-25 15:59:34+00:00,https://i.scdn.co/image/ab67616d00001e02164b43f29c7140736e5f12a1
